date	month	hour	min	pa min	pa mid	pa max	confidence

02	01	13	29	<20	 95	>150	2    xj
04	01	12	49	 75	 80	 95	1     j
06	01	06	49	 75	 80	 90	0   f
17	01	21	29	 75	 85	100	0   f
27	01	22	49	 50	 55	 60	0  s
28	01	00	09	 45	 60	 70	1     j
30	01	12	49	 60	 70	 80	1     j
31	01	16	49	 90	100	110	0   f j
01	02	10	49	 55	 80	 95	1     j
04	02	03	29	 75	 80	 85	0  sf
04	02	14	09 	<20	 90	135	2    xj
05	02	13	29	 50	 65	 75	0   f j
13	02	21	29	 35	 65	 95	2    xj
15	02	17	29	 70	 90	105	2     j
17	02	04	49	 70	 80	 95	2     j
22	02	09	29	 45	 65	 80	1   f j
24	02	09	29	 40	 65	 90	2    xj
02	03	14	09	120	125	130	0  sf
05	03	19	29	 65	 75	 80	0  s
06	03	03	29	 65	 70	 80	0  s
18	03	16	50	 95	120	145	2    x
22	03	06	49	115	120	125	0  s
23	03	02	09	 70	 90	105	1
25	03	22	49	 55	 95	130	2    x
28	03	21	29	 65	 70	 75	0  s
03	04	18	49	 70	 80	 85	0  sf
07	04	18	09	 75	 80	 90	0  s
10	04	04	09	 65	 85	105	1
12	04	06	49	 50	 65	 85	1   f
14	04	12	09	 90	115	140	1
19	04	18	49	 80	 90	100	0
20	04	15	29	115	125	130	0  s
26	04	18	49	<30	 85	140	2    x
15	05	03	29	110	120	125	0  s
15	05	15	29	 60	 85	115	0   f
16	05	23	29	100	115	135	0   f
17	05	13	29	 50	 95	130	2
22	05	05	29	110	120	125	0  s
26	05	09	29	 60	 80	 95	1
30	05	22	09	 85	 90	 95	0  s
02	06	11	29	 65	 95	130	2
07	06	12	09	 90	 95	105	0  s
08	06	02	09	 95	115	130	1   f
10	06	18	09	 55	 80	 85	1
12	06	16	09	 45	 75	115	2
19	06	03	29	105	110	120	0  s
20	06	18	09	 55	 70	 85	1   f
25	06	09	29	 80	 85	 90	0  sf
26	06	21	29	 80	 90	 95	0  sf
27	06	03	29	 70	 80	 90	0   f
06	07	21	29	100	110	120	1
07	07	20	49	 90	110	125	2
10	07	18	49	 75	 80	 85	0  sf
14	07	20	09	 75	 85	100	0   f
17	07	20	09	 65	 70	 80	0  s
04	08	08	09	100	110	120	0
04	08	14	09	 85	110	140	1    x
05	08	08	09	 95	105	115	0 
07	08	16	09	 75	100	115	2
20	08	04	09	 55	 80	115	1 b f
21	08	15	29	 60	 70	 80	0  sf		These two are part of the same thing
30	08	20	49	 85	105	120	2		It's pretty hard to tell what's going on
31	08	04	49	 70	100	>150	1
12	09	16	09	 45	 60	 70	0   f
13	09	16	09	 65	 85	110	2
19	09	10	49	 80	 90	 95	0  s
21	09	10	09	 85	 90	100	0  sf
23	09	04	49	 85	100	115	1   f
05	10	00	49	 55	 65	 80	1
09	10	20	09	 80	 90	 95	0  sf
10	10	19	29	 80	 90	100	1  s
11	10	03	29	 70	 80	 90	0   f
20	10	02	09	 90	 95	100	0  sf
03	11	08	09	 25	 70	 85	1 b  h
08	11	12	09	 75	100	110	1   f
13	11	10	49	 75	 85	 95	0   f
21	11	08	09	 25	 35	 45	0
26	11	22	09	 60	 75	 95	1   f
01	12	20	09	 55	 75	110	1
11	12	08	49	 80	 90	105	1
12	12	15	29	 30	 80	125	2
16	12	20	09	 90	120	>150	1   fh
18	12	12	09	 90	100	110	1
27	12	12	09	 50	 75	 95	2
28	12	02	49	 45	 65	 85	1
28	12	20	49	 65	 75	 80	0  s
30	12	10	09	 65	 70	 80	0  s
