date	month	hour	min	pa min	pa mid	pa max	confidence

02	01	01	06	<205	0	240	1
03	01	07	06	280	0	340	1
05	01	00	10	<205	0	320	1
07	01	23	30	<205	0	270	1
12	01	00	06	275	0	335	1
13	01	17	06	250	0	335	1
14	01	06	06	315	0	340	0
14	01	18	06	<205	0	>340	1
17	01	04	06	<205	0	330	1
18	01	04	06	<205	0	325	1
21	01	03	06	<205	0	320	1
22	01	02	06	<205	0	>340	0
23	01	07	06	260	0	>340	1
23	01	13	06	240	0	335	1
25	01	13	06	265	0	320	1
26	01	13	06	<205	0	265	0
27	01	05	06	<205	0	310	1
28	01	00	50	210	0	305	1
30	01	19	06	<205	0	335	2
03	02	22	50	225	0	265	0
08	02	06	10	225	0	305	1
08	02	20	10	245	0	320	0
09	02	20	10	<205	0	320	2
12	02	20	49	<205	0	260	1
13	02	04	49	280	0	>335	1
15	02	02	09	230	0	>335	1
16	02	18	09	210	0	325	1
18	02	04	49	<205	0	330	1
19	02	06	49	<205	0	>335	1
21	02	20	09	<205	0	>335	1
22	02	20	49	220	0	280	1
24	02	17	29	220	0	270	1
25	02	02	49	<205	0	>335	2
01	03	02	49	235	0	290	0
05	03	01	29	<205	0	>335	1
09	03	02	49	215	0	315	0
10	03	23	29	230	0	310	1
14	03	16	09	<200	0	>330	1
16	03	14	09	220	0	320	0
20	03	12	49	220	0	320	2
20	03	23	29	215	0	325	1
21	03	18	49	250	0	>320	0
22	03	16	49	250	0	290	0
23	03	07	29	225	0	325	2
24	03	14	49	290	0	335	0
26	03	11	29	<200	0	260	1
28	03	21	29	280	0	330	0
02	04	18	49	<200	0	>330	2
05	04	05	29	<200	0	>330	1
06	04	07	29	210	0	285	1
07	04	16	09	290	0	>330	1
09	04	03	29	<200	0	>330	1
11	04	18	49	<200	0	305	1
14	04	21	29	200	0	240	0
18	04	17	29	<200	0	>330	1
20	04	17	29	<200	0	220	0
22	04	21	29	235	0	300	1
25	04	18	09	215	0	280	1
02	05	08	49	<200	0	315	1
05	05	16	49	210	0	325	1
07	05	22	09	<200	0	280	1
10	05	07	29	245	0	>330	1
11	05	09	29	215	0	>330	2
12	05	18	09	<195	0	235	1
14	05	13	29	250	0	300	0
16	05	01	29	205	0	315	1
21	05	07	29	235	0	290	1
23	05	13	29	235	0	275	0
25	05	08	49	270	0	330	1
03	06	18	09	<200	0	250	1
04	06	22	09	<200	0	290	1
06	06	17	29	<200	0	>330	1
09	06	03	29	250	0	325	1
10	06	15	29	<200	0	>330	2
12	06	17	29	225	0	265	1
15	06	00	49	230	0	290	1
15	06	22	49	235	0	295	1
18	06	10	49	240	0	270	0
19	06	22	09	<220	0	>330	0
20	06	20	09	285	0	>330	1
22	06	08	09	250	0	330	1
24	06	12	09	200	0	270	1
27	06	04	09	<260	0	>330	1
29	06	17	29	225	0	315	0
30	06	10	09	240	0	310	0
30	06	22	09	210	0	310	0
02	07	02	49	220	0	290	2
03	07	06	49	220	0	290	1
08	07	20	09	260	0	330	1
09	07	22	49	245	0	>330	1
19	07	14	09	<200	0	220	0
20	07	08	49	245	0	325	1
25	07	23	29	210	0	245	0
28	07	16	09	215	0	260	0
30	07	13	29	270	0	>335	1
30	07	20	09	225	0	265	1
01	08	22	09	210	0	270	1
03	08	05	29	225	0	270	1
08	08	02	46	285	0	330	0
12	08	12	09	235	0	260	1
13	08	02	09	220	0	>335	2
15	08	16	09	270	0	310	1
15	08	23	29	210	0	280	1
18	08	14	49	260	0	325	1
24	08	18	09	215	0	320	1
25	08	09	29	230	0	270	1
26	08	16	09	255	0	295	1
28	08	22	09	275	0	>335	2
03	09	00	49	260	0	>335	1
03	09	06	09	245	0	320	2
04	09	07	29	255	0	310	1
06	09	02	49	240	0	>335	0
06	09	16	49	240	0	335	2
09	09	03	29	240	0	>335	2
10	09	20	49	<205	0	>335	2
12	09	22	49	<205	0	>335	2
13	09	09	29	300	0	>335	1
19	09	23	29	235	0	295	1
21	09	12	49	<205	0	230	0
23	09	11	29	235	0	325	1
23	09	22	09	235	0	>340	1
25	09	01	29	275	0	>340	1
26	09	06	49	<205	0	>340	2
