date	month	hour	min	pa min	pa mid	pa max	confidence

04 	01 	12 	49 	265 	270 	275 	0 bsf 
08 	01 	03 	29 	240 	265 	300 	1 b x 
10 	01 	04 	49 	235 	275 	305 	1 b x 
20 	01 	23 	29 	240 	260 	295 	1 b 
22 	01 	02 	49 	240 	270 	300 	2 b 
22 	01 	13 	29 	265 	280 	300 	1 b 
30 	01 	20 	09 	250 	275 	290 	1 b 
12 	02 	22 	09 	245 	260 	280 	0 b f 
19 	02 	05 	29 	270 	295 	>330	1 b x 
21 	02 	07 	29 	<205 	250 	>330 	1 b fx 
26 	02 	20 	09 	260 	265 	280 	0 bsf 
28 	02 	03 	29 	265 	280 	290 	1 b 
06 	03 	20 	49 	235 	265 	285 	1 b f 
08 	03 	07 	29 	260 	265 	285 	1
10	03	20	49	215	265	295	1 b fx
17	03	02	49	265	290	305	1 b			Most of the data is missing
01	04	04	49	270	285	295	0   f
07	04	21	29	260	265	270	0 bsf
14	04	17	29	275	300	325	1 b  x
25	04	20	49	255	265	275	1
09	05	10	09	245	270	290	2
13	05	10	49	265	275	285	1
30	05	05	29	235	270	290	2
09	06	08	09	270	275	285	0  s
14	06	00	09	275	285	295	1 b f
16	06	04	49	260	290	310	2 b
23	06	12	09	240	265	290	1   f
28	06	06	09	250	265	275	1
01	07	03	29	245	260	280	1 b f
03	07	05	29	250	270	285	1   f
05	07	14	49	265	275	280	0  sf
06	07	21	29	250	275	305	2
16	07	00	09	265	275	280	0 bsf
01	08	02	09	255	280	315	1   fx
05	08	00	49	240	265	290	2 b
15	08	11	29	260	280	295	1   f
26	08	01	29	260	280	300	1
03	09	18	49	250	270	290	2 b
22	09	02	49	250	270	285	1 b
26	09	00	09	260	270	275	0  s
12	10	14	49	265	270	285	0 bs
18	10	02	49	230	255	290	1 b
25	10	13	29	265	275	280	0  s
28	10	04	49	260	275	285	1
31	10	10	09	240	265	300	2
06	11	06	49	260	265	270	0 bs
09	11	20	49	255	280	290	1 b f
21	11	18	09	<200	275	>335	1   fx
04	12	21	29	240	275	290	2   f
07	12	00	09	240	265	280	1
16	12	08	49	245	280	305	2
22	12	10	09	235	280	>330	1 b fx
29	12	02	49	245	290	320	1   f
30	12	21	29	255	265	275	1   f
