date    month   hour    min     pa_N    pa_mid  pa_S    quality

02	01	13	05	95	115	130	0	
03	01	15	05	60	70	120	1
04	01	03	05	110	125	140	0
04	01	23	05	30	110	>160	2
06	01	04	05	<30	70	>160	2
07	01	06	05	<30	75	>160	2
07	01	20	05	<30	110	>160	2
08	01	09	05	30	65	100	1
09	01	08	05	40	130	>160	2
10	01	05	05	75	125	>160	1
11	01	10	05	45	100	160	1
13	01	15	05	105	125	155	0
14	01	02	05	120	130	>160	2
14	01	22	05	<30	70	110	0
16	01	22	09	120	140	>160	1
19	01	08	05	110	125	155	1
21	01	12	05	50	100	>160	2
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
29	01	06	05	65	120	>160	1
30	01	21	29	<30	115	>160	2


