date	month	hour	min	pa min	pa mid	pa max	confidence

02	01	15	29	250	275	310	0 b f
05	01	00	09	280	300	315	0 b
09	01	13	29	240	245	250	0 bsf
17	01	01	29	290	295	300	0  sf
19	01	11	29	275	290	305	1   f
29	01	01	29	255	275	290	1   f
04	02	20	49	205	225	245	0   f
09	02	08	49	205	225	240	1 b f
12	02	16	49	220	245	260	2
14	02	00	09	290	300	310	1   f
16	02	03	29	280	285	290	0  sf
16	02	10	09	280	285	295	0  sf		CME but < 20 degrees?
18	02	19	29	275	280	285	0  sf
20	02	03	29	260	280	300	1
25	02	22	09	260	265	280	0   f
27	02	19	29	250	270	290	2 b
01	03	22	49	215	240	250	1
04	03	19	29	225	245	265	0 b f
05	03	20	09	220	245	265	1 b
08	03	04	49	275	280	285	0  s
11	03	14	09	285	290	295	0  s
11	03	19	29	285	290	300	0  s
13	03	16	49	285	290	295	0  s
18	03	00	49	265	285	295	2 b
22	03	16	09	275	280	285	0 bsf
23	03	16	09	260	265	280	1   f
25	03	12	49	260	275	295	1 b 
03	04	01	29	250	260	290	1 b
04 	04	01	29	285	290	295	0 bs
05	04	19	29	<205	260	320	2    x
09	04	14	49	215	235	250	1   f
10	04	04	49	285	290	295	0  sf
11	04	01	29	280	285	290	0  sf
26	04	21	29	<205	290	>340	2    x
27	04	21	29	260	270	280	1   f
30	04	06	49	235	240	245	0 bs
04	05	12	09	285	290	300	0  sf
07	05	01	29	260	280	300	2 b
10	05	12	09	270	275	280	0  s
24	05	01	29	240	245	260	1
02	06	16	49	260	270	285	0   f
16	06	06	09	230	240	250	0   f
17	06	06	49	240	250	260	0   f
19	06	08	09	235	245	250	0  s
23	06	15	29	250	255	260	0  sf
27	06	07	29	290	295	300	0  s
28	06	01	29	285	290	300	0  s
30	06	21	29	265	285	300	1   f
08	07	05	29	215	245	275	1   f
10	07	00	49	245	250	265	0   f
21	07	17	30	240	270	300	1   f
25	07	14	50	285	290	300	0  sf
17	08	09	30	245	265	290	1
18	08	02	10	260	270	280	0
24	08	08	10	270	275	280	0  s
24	08	19	30	260	275	285	0   f
26	08	06	10	170	280	285	0  sf
31	08	05	30	<205	260	300	1 b  x
08	09	03	30	240	255	260	0  s		small CME?
12	09	07	30	285	295	300	0  sf
21	10	17	29	245	260	285	1
27	10	04	49	245	270	295	2
02	11	15	29	255	265	280	1
03	11	08	09	250	275	310	2
04	11	08	09	255	280	290	0   f
08	11	00	49	280	285	295	0  sf
12	11	06	49	255	265	275	1
13	11	23	29	260	270	275	0  sf
24	11	10	49	250	265	275	0 b f
25	11	02	09	245	270	300	1   f
27	11	06	09	250	255	260	0 bs
29	11	20	49	255	270	285	0   f
12	12	13	29	250	275	300	2
28	12	11	29	275	280	295	1   f
29	12	01	29	270	280	290	0   f
